user	data	day	hour	time_diff
user12	2017-01-16	Mon	16	0:15:00
user11	2017-01-16	Mon	17	0:01:00
user13	2017-01-22	Sun	22	0:08:00
user11	2017-01-22	Sun	22	0:05:00
user13	2017-01-27	Fri	15	0:08:00
user11	2017-01-27	Fri	21	0:12:00
user13	2017-02-07	Tue	17	0:01:00
user13	2017-02-07	Tue	18	0:01:00
user13	2017-02-10	Fri	23	0:00:00
user13	2017-02-14	Tue	22	0:01:00
user12	2017-02-15	Wed	17	14:51:00
user11	2017-02-27	Mon	10	0:11:00
user11	2017-02-28	Tue	15	0:03:00
user13	2017-02-28	Tue	15	0:01:00
user12	2017-02-28	Tue	17	0:01:00
user11	2017-02-28	Tue	17	0:00:00
user12	2017-03-03	Fri	10	0:10:00
user13	2017-03-03	Fri	14	0:24:00
user11	2017-03-06	Mon	11	0:34:00
user11	2017-03-06	Mon	17	0:00:00
user11	2017-03-06	Mon	17	0:00:00
user12	2017-03-06	Mon	17	0:02:00
user12	2017-03-09	Thu	15	0:03:00
user11	2017-03-09	Thu	15	0:00:00
user12	2017-03-09	Thu	15	0:02:00
user13	2017-03-09	Thu	17	0:00:00
user13	2017-03-09	Thu	17	0:00:00
user12	2017-03-09	Thu	17	0:00:00
user12	2017-03-12	Sun	15	0:49:00
user11	2017-03-12	Sun	15	0:01:00
user11	2017-03-12	Sun	16	0:26:00
user12	2017-03-13	Mon	22	0:22:00
user12	2017-03-13	Mon	22	0:01:00
user13	2017-03-14	Tue	00	0:00:00
user11	2017-03-14	Tue	00	0:00:00
user13	2017-03-14	Tue	16	0:00:00
user13	2017-03-14	Tue	18	0:02:00
user12	2017-03-14	Tue	18	0:04:00
user13	2017-03-14	Tue	18	0:01:00
user13	2017-03-16	Thu	15	0:02:00
user12	2017-03-25	Sat	17	0:01:00
user11	2017-03-29	Wed	17	0:00:00
user13	2017-03-29	Wed	17	0:01:00
user12	2017-03-29	Wed	17	0:00:00
user12	2017-03-29	Wed	18	0:02:00
user13	2017-03-29	Wed	18	0:09:00
user11	2017-03-29	Wed	18	0:01:00
user11	2017-03-29	Wed	18	0:06:00
user13	2017-03-30	Thu	00	0:05:00
user11	2017-03-31	Fri	13	1:38:00
user12	2017-03-31	Fri	17	0:04:00
user12	2017-04-04	Tue	13	0:05:00
user11	2017-04-04	Tue	13	0:02:00
user11	2017-04-04	Tue	13	0:03:00
user11	2017-04-07	Fri	17	0:00:00
user12	2017-04-07	Fri	19	0:12:00
user12	2017-04-07	Fri	23	0:30:00
user12	2017-04-07	Fri	23	0:03:00
user11	2017-04-08	Sat	02	0:43:00
user13	2017-04-10	Mon	15	0:00:00
user11	2017-04-19	Wed	19	0:05:00
user13	2017-04-20	Thu	06	0:02:00
user13	2017-04-25	Tue	13	0:19:00
user13	2017-04-25	Tue	13	0:05:00
user13	2017-04-25	Tue	15	0:01:00
user11	2017-04-27	Thu	21	0:00:00
user13	2017-04-30	Sun	17	0:01:00
user12	2017-05-01	Mon	18	0:03:00
user13	2017-05-02	Tue	15	0:04:00
user13	2017-05-02	Tue	15	0:02:00
user13	2017-05-02	Tue	22	0:03:00
user11	2017-05-17	Wed	15	0:02:00
user13	2017-05-17	Wed	15	0:01:00
user13	2017-05-17	Wed	15	0:01:00
user11	2017-05-17	Wed	16	0:06:00
user12	2017-05-19	Fri	21	0:09:00
user12	2017-05-19	Fri	21	0:04:00
user13	2017-05-20	Sat	22	0:08:00
user11	2017-05-21	Sun	02	0:03:00
user11	2017-05-21	Sun	03	0:03:00
user12	2017-05-21	Sun	22	0:10:00
user11	2017-05-21	Sun	22	0:00:00
user11	2017-05-21	Sun	22	0:03:00
user13	2017-05-21	Sun	23	0:18:00
user12	2017-05-24	Wed	19	0:02:00
user12	2017-05-24	Wed	20	0:00:00
user11	2017-05-24	Wed	21	0:01:00
user12	2017-05-24	Wed	21	0:00:00
user11	2017-05-24	Wed	21	0:02:00
user12	2017-05-24	Wed	21	0:09:00
user12	2017-05-25	Thu	15	0:22:00
user13	2017-05-28	Sun	18	0:04:00
user12	2017-05-28	Sun	20	0:12:00
user11	2017-05-28	Sun	20	0:01:00
user11	2017-05-29	Mon	21	0:38:00
user12	2017-05-29	Mon	21	0:02:00
user12	2017-05-29	Mon	21	0:02:00
user11	2017-05-30	Tue	02	0:02:00
user12	2017-05-30	Tue	10	0:09:00
user12	2017-05-30	Tue	14	2:54:00
user11	2017-05-30	Tue	14	0:03:00
user11	2017-05-30	Tue	14	0:00:00
user12	2017-05-30	Tue	15	0:00:00
user12	2017-05-30	Tue	15	0:03:00
user13	2017-05-30	Tue	16	0:15:00
user11	2017-05-30	Tue	17	0:04:00
user13	2017-06-03	Sat	15	0:22:00
user11	2017-06-14	Wed	18	0:01:00
user11	2017-06-16	Fri	03	0:02:00
user12	2017-06-16	Fri	03	0:00:00
user11	2017-06-16	Fri	03	0:00:00
user13	2017-06-16	Fri	03	0:00:00
user13	2017-06-16	Fri	18	0:28:00
user12	2017-06-16	Fri	18	0:02:00
user12	2017-06-16	Fri	18	0:02:00
user11	2017-06-16	Fri	18	0:00:00
user12	2017-06-16	Fri	18	0:00:00
user13	2017-06-17	Sat	00	0:01:00
user13	2017-06-17	Sat	01	0:00:00
user13	2017-06-17	Sat	01	0:01:00
user13	2017-06-17	Sat	01	0:00:00
user13	2017-06-17	Sat	01	0:01:00
user13	2017-06-17	Sat	01	0:00:00
user13	2017-06-17	Sat	01	0:03:00
user13	2017-06-17	Sat	01	0:01:00
user12	2017-06-17	Sat	02	0:00:00
user11	2017-06-17	Sat	02	0:02:00
user13	2017-06-17	Sat	13	0:04:00
user12	2017-06-17	Sat	14	0:04:00
user13	2017-06-17	Sat	15	0:11:00
user13	2017-06-17	Sat	19	0:03:00
user13	2017-06-29	Thu	20	0:03:00
user12	2017-07-02	Sun	18	0:01:00
user13	2017-07-02	Sun	18	0:06:00
user13	2017-07-02	Sun	18	0:02:00
